City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Melong,5.1218,9.9614,70.09,93,79,1.12
268,Galle,6.0367,80.217,80.73,80,61,4.14
269,Ondjiva,-17.0667,15.7333,70.48,65,100,6.02
270,Vila Velha,-20.3297,-40.2925,76.95,75,75,10.0
271,Kushmurun,52.4503,64.6311,46.08,66,32,6.22
272,Aqtobe,50.2797,57.2072,44.69,70,0,4.47
273,Iqaluit,63.7506,-68.5145,9.7,72,100,3.62
274,Chapais,49.7834,-74.8492,33.58,70,100,10.87
275,Denizli,37.8402,29.0698,62.06,39,55,1.74
276,Lasa,46.6166,10.7002,36.84,93,36,7.34
277,Balykshi,47.0667,51.8667,42.8,93,36,4.47
278,Guanaja,16.4,-85.9,81.03,74,80,16.62
279,Gualeguay,-33.1416,-59.3097,69.17,53,69,5.64
280,Santa Maria,-29.6842,-53.8069,62.11,78,3,4.94
281,Pittsfield,42.4501,-73.2454,51.42,79,100,14.97
282,Cacoal,-11.4386,-61.4472,79.3,92,26,4.12
283,Owensboro,37.7742,-87.1133,64.45,58,100,13.04
284,Bilma,18.6853,12.9164,89.24,9,9,4.54
285,Japura,-0.3167,102.35,74.03,99,100,1.25
286,Arraial Do Cabo,-22.9661,-42.0278,73.26,78,20,10.36
287,Kruisfontein,-34.0033,24.7314,60.89,83,100,5.82
288,Luderitz,-26.6481,15.1594,64.17,57,0,13.76
289,College,64.8569,-147.8028,33.75,33,20,11.5
290,Athabasca,54.7169,-113.2854,31.95,59,100,8.12
291,Pandan,14.0453,124.1694,77.54,87,97,8.7
292,Komsomolskiy,40.4272,71.7189,69.37,22,7,4.09
293,Ostashkov,57.1467,33.1075,27.23,93,11,6.06
294,Dakar,14.6937,-17.4441,67.08,88,2,15.08
295,Capljina,43.1214,17.6844,60.94,63,98,13.85
296,Clyde River,70.4692,-68.5914,-3.77,77,100,4.61
297,Veinticinco De Mayo,-35.4323,-60.1727,71.98,49,28,1.01
298,Kartuzy,54.3342,18.1974,35.78,85,0,6.91
299,Geraldton,-28.7667,114.6,66.61,77,96,16.11
300,Pyshchug,58.8873,45.7134,26.56,85,84,4.47
301,Guanay,-15.4975,-67.8797,79.95,67,87,2.3
302,Atambua,-9.1061,124.8925,72.84,89,93,2.82
303,Laurinburg,34.7741,-79.4628,76.96,61,75,9.22
304,Kralendijk,12.15,-68.2667,84.18,70,20,25.32
305,Saint Anthony,45.0205,-93.218,43.3,36,0,19.57
306,Ahuimanu,21.4447,-157.8378,78.51,79,75,11.5
307,Moerai,-22.4333,-151.3333,79.65,71,27,4.12
308,Nanortalik,60.1432,-45.2371,30.52,84,7,10.0
309,Porbandar,21.6422,69.6093,80.06,74,0,9.17
310,Newport,51.5877,-2.9984,57.33,74,81,4.76
311,Derbent,42.0678,48.2899,50.7,75,30,4.36
312,Palmas,-10.2128,-48.3603,84.07,74,75,3.44
313,Buchanan,5.8808,-10.0467,80.8,84,99,9.26
314,San Cristobal,7.7669,-72.225,80.78,65,100,5.66
315,Kohlu,29.8962,69.252,72.28,9,67,2.84
316,Izberbash,42.5696,47.8645,42.85,75,17,6.13
317,Sukumo,32.9333,132.7333,50.36,66,100,3.6
318,Bang Saphan,11.2126,99.5117,76.32,88,77,3.38
319,Souillac,-20.5167,57.5167,76.33,85,34,14.32
320,Mahebourg,-20.4081,57.7,79.09,78,40,11.5
321,Baker City,44.7749,-117.8344,38.59,77,98,12.64
322,Mayahi,13.9553,7.6712,89.33,26,89,9.19
323,Agadez,19.75,10.25,83.05,9,94,12.66
324,Talnakh,69.4865,88.3972,16.21,93,100,8.68
325,Port Lincoln,-34.7333,135.8667,65.01,88,100,10.2
326,Nishihara,26.1842,127.7558,65.48,68,75,8.05
327,Natchitoches,31.7668,-93.1335,85.05,65,100,8.05
328,Hamza,40.4264,71.4956,70.29,22,8,4.83
329,Talara,-4.5772,-81.2719,77.76,61,0,17.27
330,Hamois,50.3348,5.1512,53.44,58,21,6.78
331,Launceston,-41.45,147.1667,59.14,96,75,0.0
332,Lincoln,40.8,-96.667,54.14,30,0,13.8
333,Comodoro Rivadavia,-45.8667,-67.5,59.32,55,22,14.58
334,Tilichiki,60.4667,166.1,27.05,87,98,4.83
335,Okha,53.5739,142.9478,27.45,86,100,11.01
336,Aksarayskiy,46.7924,48.0119,57.83,59,76,7.54
337,Altamira,-3.2033,-52.2064,77.83,92,78,2.62
338,Edgewater,28.9889,-80.9023,89.17,73,40,12.66
339,Kafanchan,9.5833,8.3,74.43,77,90,10.07
340,Bayan,46.0833,127.4,36.32,32,74,6.62
341,Spearfish,44.4908,-103.8594,46.11,38,0,26.46
342,Taoudenni,22.6783,-3.9836,81.19,17,0,11.56
343,Carauari,-4.8828,-66.8958,83.8,74,94,1.16
344,Champerico,14.3,-91.9167,87.62,61,20,14.92
345,Xining,36.6167,101.7667,36.01,75,99,3.71
346,Caravelas,-17.7125,-39.2481,77.7,68,100,11.77
347,Tahta,26.7693,31.5021,83.77,12,0,4.23
348,Novobiryusinskiy,56.9578,97.7076,34.9,96,100,3.94
349,Thunder Bay,48.4001,-89.3168,30.29,62,100,4.0
350,Salamiyah,35.0113,37.0532,59.58,45,63,1.95
351,Xifeng,42.7372,124.7222,44.47,43,11,5.61
352,Hobyo,5.3505,48.5268,82.71,76,41,18.63
353,Badiraguato,25.3667,-107.5167,98.53,6,97,6.58
354,Ponta Do Sol,32.6667,-17.1,72.23,45,100,7.49
355,Whitehorse,60.7161,-135.0538,36.1,77,100,5.99
356,Rantepao,-2.9701,119.8978,67.66,96,99,2.24
357,San Juan,-31.5375,-68.5364,75.61,29,0,13.42
358,Margate,51.3813,1.3862,52.3,83,11,3.0
359,San Patricio,28.017,-97.5169,91.49,55,90,14.97
360,Odweyne,9.4092,45.064,79.29,53,46,5.55
361,Cherskiy,68.75,161.3,17.64,93,100,9.01
362,Porto Novo,6.4965,2.6036,81.79,78,83,6.71
363,Mogoytuy,51.2833,114.9167,29.17,47,94,4.09
364,Ust-Koksa,50.2696,85.6108,38.35,73,0,1.36
365,Inuvik,68.3499,-133.7218,9.91,79,21,5.88
366,Bathsheba,13.2167,-59.5167,83.01,65,20,17.27
367,Predivinsk,57.0669,93.4378,40.1,89,100,5.86
368,Alenquer,-1.9417,-54.7383,79.97,87,92,0.51
369,Shubarkuduk,49.1447,56.4872,47.25,74,97,2.1
370,Anloga,5.7947,0.8973,83.26,78,60,14.05
371,Campos Novos,-27.4017,-51.225,55.62,80,0,2.71
372,Baft,29.234,56.6057,61.14,26,100,11.25
373,Inta,66.0317,60.1659,14.34,96,98,5.97
374,Daru,-9.0763,143.2092,79.48,86,65,6.93
375,Mayumba,-3.432,10.6554,78.04,90,32,4.23
376,Honningsvag,70.9821,25.9704,38.95,87,100,27.63
377,Diego De Almagro,-26.3667,-70.05,71.38,22,0,10.49
378,Rusape,-18.5278,32.1284,61.16,94,94,6.17
379,Dawei,14.0833,98.2,76.69,90,46,2.33
380,Mao,39.8885,4.2658,63.16,59,0,6.91
381,Saint-Paul,-21.0096,55.2707,76.35,83,37,0.45
382,Anadyr,64.75,177.4833,21.67,90,73,11.59
383,Izumo,35.3667,132.7667,44.51,46,63,4.45
384,Kaeo,-35.1,173.7833,62.33,97,100,15.03
385,Jinzhou,41.1078,121.1417,50.68,29,0,3.27
386,Myanaung,18.2833,95.3167,82.85,66,63,0.65
387,Boa Vista,2.8197,-60.6733,91.38,43,20,9.22
388,Pasighat,28.0667,95.3333,66.65,93,100,4.45
389,Acarau,-2.8856,-40.12,79.99,81,33,7.47
390,Roald,62.5833,6.1333,45.52,81,100,8.05
391,Palafrugell,41.9174,3.1631,63.36,46,63,3.18
392,Noyabrsk,63.1994,75.4507,20.26,90,100,15.26
393,Losheim,49.5167,6.75,48.72,56,56,8.88
394,Saint-Joseph,-21.3667,55.6167,73.78,80,30,12.66
395,Hualmay,-11.0964,-77.6139,70.39,74,98,13.18
396,Salinopolis,-0.6136,-47.3561,79.14,86,100,8.05
397,Mantua,45.1667,10.7833,59.61,74,32,9.69
398,Olafsvik,64.8945,-23.7142,43.84,98,100,11.95
399,Hakui,36.8833,136.7833,42.69,70,8,3.58
400,Lavrentiya,65.5833,-171.0,28.2,93,99,10.74
401,Greytown,-29.0642,30.5928,50.31,99,100,0.58
402,Sur,22.5667,59.5289,87.01,43,0,5.26
403,Tiangua,-3.7322,-40.9917,69.1,97,65,3.06
404,Tiznit,29.5833,-9.5,76.32,25,16,1.45
405,Marathon,44.9,-89.7668,36.93,50,100,14.97
406,Lianzhou,24.7811,112.3825,54.03,94,100,2.64
407,Svetlyy,54.675,20.1347,36.97,83,87,8.19
408,Yongan,39.6957,113.6871,48.36,22,100,3.0
409,Araouane,18.9048,-3.5265,79.29,12,15,10.04
410,Labytnangi,66.6572,66.4183,5.63,91,88,5.19
